"Fiscal Year",Brand,DVCode,FCDesc,"LY FC"
2018,"Crazy 8",Basics,"GY C8 18 SB1","GY C8 17 SB1"
2018,"Crazy 8",Basics,"GY C8 18 SB2","GY C8 17 SB2"
2018,"Crazy 8",Basics,"GY C8 18 UNIFORM CAP","GY C8 17 UNIFORM CAP"
2018,"Crazy 8",Basics,"GY C8 YRLY BASICS","GY C8 YRLY BASICS"
2018,"Crazy 8",Basics,"GY C8 YRLY DENIM","GY C8 YRLY DENIM"
2018,"Crazy 8",Fall,"GY C8 18 AUG","GY C8 17 FALL 1"
2018,"Crazy 8",Fall,"GY C8 18 FAL","GY C8 17 FAL"
2018,"Crazy 8",Fall,"GY C8 18 FAL DOORBUSTER","GY C8 17 FAL DOORBUSTER"
2018,"Crazy 8",Fall,"GY C8 18 JULY","GY C8 17 BTS CAP"
2018,"Crazy 8",Fall,"GY C8 18 JULY","GY C8 17 BTS"
2018,"Crazy 8",Fall,"GY C8 18 OCT 1","GY C8 17 SEASONAL"
2018,"Crazy 8",Fall,"GY C8 18 OCT 2",NULL
2018,"Crazy 8",Fall,"GY C8 18 OCTOBER CAP","GY C8 17 PARTY CAP"
2018,"Crazy 8",Fall,"GY C8 18 SEP 1","GY C8 17 FALL 2"
2018,"Crazy 8",Fall,"GY C8 18 SEP 1","GY C8 17 HALLOWEEN CAP"
2018,"Crazy 8",Fall,"GY C8 18 SEP 2",NULL
2018,"Crazy 8",Fall,"GY C8 18 SEP CAP","GY C8 17 PICTURE CAP"
2018,"Crazy 8",Other,"GY C8 GIVEAWAY",NULL
2018,"Crazy 8",Other,"GY C8 WEB RELATED","GY C8 WEB RELATED"
2018,"Crazy 8",Spring,"GY C8 18 EASTER CAP","GY C8 17 SPRING CAP"
2018,"Crazy 8",Spring,"GY C8 18 EASTER REFRESH","GY C8 17 EASTER CAP"
2018,"Crazy 8",Spring,"GY C8 18 PRE SUMMER","GY C8 17 PRE SUMMER"
2018,"Crazy 8",Spring,"GY C8 18 SPR","GY C8 17 SPR"
2018,"Crazy 8",Spring,"GY C8 18 SPR DOORBUSTER","GY C8 17 SPR DOORBUSTER"
2018,"Crazy 8",Spring,"GY C8 18 SPRING","GY C8 17 SPRING"
2018,"Crazy 8",Spring,"GY C8 18 SPRING BREAK","GY C8 17 SPRING BREAK"
2018,"Crazy 8",Spring,"GY C8 18 SPRING TRANS","GY C8 17 SPRING TRANS"
2018,"Crazy 8",Spring,"GY C8 18 SWIM 1","GY C8 17 SWIM 1"
2018,"Crazy 8",Spring,"GY C8 18 SWIM 2","GY C8 17 SWIM 2"
2018,"Crazy 8",Spring,"GY C8 18 SWIM 3","GY C8 17 SWIM 3"
2018,"Crazy 8",Spring,"GY C8 18 VDAY CAP","GY C8 17 VDAY CAP"
2018,"Crazy 8","Spring 18","Spring 18","Spring 18"
2018,"Crazy 8",Summer,"GY C8 18 HIGH SUMMER","GY C8 17 HIGH SUMMER"
2018,"Crazy 8",Summer,"GY C8 18 JULY 4TH CAP","GY C8 17 JULY 4TH CAP"
2018,"Crazy 8",Summer,"GY C8 18 SMR","GY C8 17 SMR"
