"Year","wk","brand","country","channel","fc","season","salesUnits","air","aur","auc","recUnits","recCost","recRtl","recAIR","recAUC","sohAdjust","storeInv","dcInv","transIn","transOut","RtlSales","Cogs"
2017,1,"Crazy 8","Canada","Retail","GY C8 YRLY DENIM","Basics",,$0.00,$0.00,$0.00,,,,,,,-1,,,,,
2017,1,"Crazy 8","Canada","Retail","Old","Old",,,,,,,,,,,7,,,,,
2017,1,"Crazy 8","USA","Outlet","GY C8 YRLY BASICS","Basics",,$0.00,$0.00,$0.00,,,,,,,4,,,,,
2017,1,"Crazy 8","USA","Outlet","GY C8 YRLY DENIM","Basics",,$0.00,$0.00,$0.00,,,,,,,9,,,,,
2017,1,"Crazy 8","USA","Outlet","Old","Old",,,,,,,,,,-1,88,,,,,
2017,1,"Crazy 8","USA","Retail","GY C8 17 EASTER CAP","Spring",,$0.00,$0.00,$0.00,229235,$1008021.43,$4717796.80,$20.58,$4.40,-1,0,252214,,,,
2017,1,"Crazy 8","USA","Retail","GY C8 17 PRE SUMMER","Spring",,$0.00,$0.00,$0.00,,,,,,,-1,,,,,
2017,1,"Crazy 8","USA","Retail","GY C8 17 SB1","Basics",17244,$14.79,$9.53,$3.61,52020,$126106.88,$592319.60,$11.39,$2.42,266,469616,512440,22451,29841,$164329.00,$62279.00
2017,1,"Crazy 8","USA","Retail","GY C8 17 SPR","Spring",45775,$12.56,$7.01,$2.76,,,,,,-319,866081,535340,85151,115368,$320973.00,$126531.00
2017,1,"Crazy 8","USA","Retail","GY C8 17 SPR DOORBUSTER","Spring",189,$18.55,$12.57,$4.02,43896,$100522.24,$457363.48,$10.42,$2.29,-5,21871,90450,9,9,$2376.00,$759.00
2017,1,"Crazy 8","USA","Retail","GY C8 17 SPRING","Spring",21637,$17.58,$11.73,$3.77,,,,,,471,504053,288256,15731,19440,$253835.00,$81488.00
2017,1,"Crazy 8","USA","Retail","GY C8 17 SPRING BREAK","Spring",1,$12.88,$9.00,$3.00,705506,$2352610.58,$11845943.28,$16.79,$3.33,20,-1,672081,,,$9.00,$3.00
2017,1,"Crazy 8","USA","Retail","GY C8 17 SPRING CAP","Spring",4682,$20.38,$13.61,$4.76,,,,,,-21,119690,45282,119457,153531,$63715.00,$22263.00
2017,1,"Crazy 8","USA","Retail","GY C8 17 SPRING TRANS","Spring",12526,$18.47,$12.38,$4.57,,,,,,107,398415,28728,,,$155104.00,$57269.00
2017,1,"Crazy 8","USA","Retail","GY C8 17 SWIM 1","Spring",2604,$17.82,$11.96,$4.57,,,,,,11,94948,61724,242,314,$31148.00,$11912.00
2017,1,"Crazy 8","USA","Retail","GY C8 17 SWIM 2","Spring",,$0.00,$0.00,$0.00,95178,$425934.75,$1653815.64,$17.38,$4.48,,0,95178,,,,
2017,1,"Crazy 8","USA","Retail","GY C8 17 VDAY CAP","Spring",10443,$16.73,$9.69,$3.54,,,,,,-22,55862,95,,,$101176.00,$36943.00
2017,1,"Crazy 8","USA","Retail","GY C8 18 UNIFORM CAP","Basics",15,$16.88,$5.33,$4.13,,,,,,,519,,,,$80.00,$62.00
2017,1,"Crazy 8","USA","Retail","GY C8 GIVEAWAY","Other",,$0.00,$0.00,$0.00,,,,,,,32,0,,,,
2017,1,"Crazy 8","USA","Retail","GY C8 YRLY BASICS","Basics",7056,$13.29,$9.16,$3.56,,,,,,-124,320139,123603,21316,27368,$64652.00,$25128.00
2017,1,"Crazy 8","USA","Retail","GY C8 YRLY DENIM","Basics",19122,$19.03,$8.81,$5.52,,,,,,-337,421779,221352,20679,29762,$168463.00,$105644.00
2017,1,"Crazy 8","USA","Retail","Old","Old",204844,$15.22,$7.22,$3.36,222705,$686932.80,$3955844.40,$17.76,$3.08,-277,4811390,1925038,187527,234218,$1479092.00,$689038.00
2017,1,"Crazy 8","USA","Web","GY C8 17 EASTER CAP","Spring",,$0.00,$0.00,$0.00,31811,$154324.93,$702822.68,$22.09,$4.85,-6,37658,,,,,
2017,1,"Crazy 8","USA","Web","GY C8 17 SB1","Basics",1594,$14.39,$9.25,$3.45,5524,$15132.34,$64937.12,$11.76,$2.74,-8,174309,,1596,1598,$14745.00,$5494.00
2017,1,"Crazy 8","USA","Web","GY C8 17 SPR","Spring",6600,$12.12,$5.69,$2.46,,,,,,-39,248517,,6614,6626,$37569.00,$16259.00
2017,1,"Crazy 8","USA","Web","GY C8 17 SPR DOORBUSTER","Spring",91,$16.34,$11.76,$3.04,2331,$5328.49,$24290.28,$10.42,$2.29,-3,10907,,91,91,$1070.00,$277.00
2017,1,"Crazy 8","USA","Web","GY C8 17 SPRING","Spring",2147,$18.73,$10.94,$4.18,,,,,,-32,173273,,2150,2150,$23497.00,$8977.00
2017,1,"Crazy 8","USA","Web","GY C8 17 SPRING BREAK","Spring",,$0.00,$0.00,$0.00,128142,$423094.06,$2210279.96,$17.25,$3.30,7,139391,,,,,
2017,1,"Crazy 8","USA","Web","GY C8 17 SPRING CAP","Spring",58,$19.59,$15.14,$4.43,,,,,,9,29561,,58,58,$878.00,$257.00
